feature,delta_acc
doy_cos,0.03821708723183065
doy_sin,0.02310745676212078
Humidity_normalized,0.017874019468859276
Visibility (km)_normalized,0.01229798695775447
h_cos,0.010980767413287962
Pressure (millibars)_normalized,0.009657641054720723
Summary_Clear,0.008683016728097542
dow_sin,0.007637510632265393
dow_cos,0.006739674888951913
h_sin,0.006160807107078725
Summary_Overcast,0.003597249787354706
Temperature (C)_normalized,0.0027230413004442067
Precip Type_normalized,0.001311312730365749
Summary_Foggy,0.001199083262451578
Summary_Mostly Cloudy,0.0008978357433134798
Wind Speed (km/h)_normalized,0.0002894338909365801
Summary_Partly Cloudy,-0.0001831112371231125
wind_bearing_sin,-0.003290095454115849
wind_bearing_cos,-0.004359228806350979
