feature,delta_mse,delta_mse_%,base_mse
doy_cos,0.30381480250512855,189.04111268976024,0.1607136131301375
doy_sin,0.09635438947951802,59.95409324877493,0.1607136131301375
Temperature (C)_normalized,0.07100174462148515,44.1790482079397,0.1607136131301375
h_sin,0.0313386078076566,19.499659796883684,0.1607136131301375
h_cos,0.029837899442681087,18.565881795290057,0.1607136131301375
wind_bearing_cos,0.009646617939290975,6.002365170820749,0.1607136131301375
Precip Type_normalized,0.004303136702040633,2.6775184865990025,0.1607136131301375
Daily Summary_normalized,0.0030229090254803304,1.8809290430379018,0.1607136131301375
Summary_normalized,0.002870467818029243,1.7860763392239138,0.1607136131301375
tz_offset_hours,0.00037630613946953995,0.2341470222344058,0.1607136131301375
Humidity,0.00023614762360915642,0.14693691406087447,0.1607136131301375
trend,4.7019833088857155e-05,0.0292569074722892,0.1607136131301375
dow_cos,-8.806971110472683e-05,-0.05479916068678798,0.1607136131301375
wind_bearing_sin,-9.832663635778172e-05,-0.06118127421985214,0.1607136131301375
dow_sin,-0.00018460877654444263,-0.11486816390280274,0.1607136131301375
